Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
1232,"The Shadow of the Wind (The Cemetery of Forgotten Books, #1)",Carlos Ruiz Zafón,"Zafón, Carlos Ruiz",Lucia Graves,"=""""","=""""",3,4.27,Penguin Books,Paperback,487,2005,2001,,2010/12/16,,,read,,,,1,,,0,,,,,
69136,The Book of Lost Things,John Connolly,"Connolly, John",,"=""0743298853""","=""9780743298858""",4,3.93,Atria Books,Hardcover,339,2006,2006,,2010/12/16,,,read,,,,1,,,0,,,,,
49628,Cloud Atlas,David Mitchell,"Mitchell, David",,"=""0375507256""","=""9780375507250""",5,4.00,Random House,Paperback,509,2004,2004,,2010/12/16,5-star,5-star (#31),read,,,,1,,,0,,,,,
14316,Black Swan Green,David Mitchell,"Mitchell, David",,"=""0812974018""","=""9780812974010""",4,3.95,Random House,Paperback,296,2007,2006,,2010/12/16,,,read,,,,1,,,0,,,,,
6819,Ghostwritten,David Mitchell,"Mitchell, David",,"=""0375724508""","=""9780375724503""",4,4.05,Vintage,Paperback,426,2001,1999,,2010/12/16,,,read,,,,1,,,0,,,,,
6870,Enduring Love,Ian McEwan,"McEwan, Ian",,"=""0099481243""","=""9780099481249""",4,3.64,Vintage,Paperback,245,2004,1997,,2010/12/16,,,read,,,,1,,,0,,,,,
5015,Saturday,Ian McEwan,"McEwan, Ian",,"=""1400076196""","=""9781400076192""",4,3.62,Anchor,Paperback,289,2006,2005,,2010/12/16,,,read,,,,1,,,0,,,,,
6867,Atonement,Ian McEwan,"McEwan, Ian",,"=""038572179X""","=""9780385721790""",5,3.91,Anchor Books,Paperback,351,2003,2001,,2010/12/16,"5-star, war","5-star (#30), war (#6)",read,,,,1,,,0,,,,,
3985,The Amazing Adventures of Kavalier & Clay,Michael Chabon,"Chabon, Michael",,"=""0312282990""","=""9780312282998""",5,4.18,Picador USA,Paperback,639,2001,2000,,2010/12/16,"5-star, pulitzer","5-star (#29), pulitzer (#6)",read,,,,1,,,0,,,,,
58027,Alias Grace,Margaret Atwood,"Atwood, Margaret",Brigitte Walitzek,"=""3442723434""","=""9783442723430""",5,4.03,Btb Bei Goldmann,Paperback,636,1998,1996,,2010/12/16,5-star,5-star (#27),read,,,,1,,,0,,,,,
